Comment,Designator,Footprint,LCSC
Conn_ARM_SWD_TagConnect_TC2030-NL,J2,IDC-Header_2x03_P2.54mm_Vertical,C11214
SWD 2.54,"J1,J3",IDC-Header_2x05_P2.54mm_Vertical,C7501191
